,Brand,Clockspeed,Model,Series
452,Intel,2.9,,Core i7 7820HQ
453,Intel,2.5,,Core i5 7200U
454,Intel,1.8,,Core i7 8550U
455,Intel,1.6,,Pentium Quad Core N3710
456,Intel,2.7,,Core i7 7700HQ
457,Intel,2.2,,Core M m3-7Y30
458,Intel,2.5,,Core i7 7660U
459,Intel,2,,Core i3 6006U
460,Intel,2,,Core i3 6006U
461,Intel,1.6,,Celeron Dual Core N3060
462,Intel,2.5,,Core i5 7200U
463,Intel,2.7,,Core i7 7500U
464,Intel,2.9,,Core i7 7820HQ
465,Intel,1.1,,Pentium Quad Core N4200
466,Intel,2,,Core i3 6006U
467,Intel,1.6,,Core i5 8250U
468,Intel,2.8,,Core i7 7700HQ
469,Intel,2.6,,Core i7 6600U
470,Intel,1.8,,Core i7 8550U
471,Intel,2.5,,Core i5 7200U
472,Intel,1.2,,Core i5 7Y57
473,Intel,1.6,,Core i5 8250U
